,Date,Notes,Commentaires
88,sept. 2021,"5,0","Un accueil chaleureux et pro, une cuisine inventive excellente.
J'y suis allé, retourné, re-retourné... et c'est pas fini !
Bravo Continuez !"
89,janv. 2022,"5,0","Repas offerts par un proche : un accueil très sympa, une belle découverte culinaire. Un excellent moment. De beaux visuels et des saveurs en bouche avec un p'tit goût de ""reviens y"". L interlude végétal est une tuerie. Le Lirac a fort bien accompagné les menus.
Restaurant à recommander vivement."
90,juil. 2021,"5,0",Vraiment une superbe adresse sur Lyon. C’est un endroit intimiste. Les plats sont recherchés par leur goût et saveur.
91,nov. 2021,"5,0","Nous attendions ce moment, non suite aux  avis sur ce site mais juste pour avoir suivi depuis quelques années Mathieu et Benjamin. Depuis l’Arsenic ou ils étaient et nous avez scotché, à nous dire qu’ils se lançaient dans cette nouvelle aventure de L’Agastache et malheureusement peu avant ce fichu Covid.
Alors que dire de ce l’accueil de Mathieu, au top comme avant. Sourire et mots gentils à nous clients qu’il voit les suivre et revenir tous les. 2 ans lors de Solutrans.
Une salle d’une vingtaine de couvert qu’il suit de main de maître. Bravo Mathieu. 
Et les assiettes, et bien Benjamin reste égale à lui même, il se bonifie même avec l’âge car que ce soit l’entrée, le  plat, ou le dessert ce fut exceptionnel. Bravo Messieurs  ce duo est percutant et donc rien de surprenant aux avis et aux trophées qui commencent à se mettre sur la façade. SVP continuez et n’arrêtez pas et surtout à bientôt.👍"
92,nov. 2021,"5,0","Encore une fois nous avons passé une soirée magique.
Les assiettes sont superbes avec des associations de goût inédites. 
Le service est souriant et très efficace.
Nous reviendrons!"
93,nov. 2021,"5,0","Topissime, on s'est régalé !
Menú original, très équilibré, supers produits.
L'un de mes meilleurs restaurants sur Lyon.
Bravo !!!"
94,oct. 2021,"5,0","Dans un cadre intime et avec un service impeccable, chaque plat et entre-plat comporte de très bonnes surprises pleines de créativité et de saveurs"
95,oct. 2021,"5,0","La perfection à tout point….du service, au plat, un menu digne d’un étoilé à 35 euros seulement…. Chapeau bas à ces deux messieurs, c’était excellent et l’accueil y est chaleureux à souhait !"
96,oct. 2021,"5,0","Incroyable ! Digne d’un grand restaurant étoilé au niveau de la cuisine. Très bon accueil, le personnel esr tres agréable ! Ça fait plusieurs années que je n’ai pas fais un restaurant à ce niveau, même en comparant avec des restaurants étoilés."
97,sept. 2021,"5,0","Je recommande a 200% ce restaurant bistronomique !! 
Que ce soit pour la cuisine, créative, goûteuse, et à la présentation soignée. Mais aussi le service, toujours avec le sourire (même derrière le masque !). La carte des vins est de qualité ! Et la salle, refaite dernièrement par les deux gérants du restaurant est décorée avec beaucoup de goût. 
Merci à vous deux pour ce bon moment !"
98,sept. 2021,"5,0","Incroyables mariages de saveurs, beauté des assiettes, services au top, merci pour ce beau moment passé !"
99,sept. 2021,"5,0","Tout est parfait...
Les produits frais, la façon dont ils sont travaillés et leur saveur, le service et le sourire constant
J'ai adoré tout simplement
Une superbe découverte"
100,août 2021,"5,0","De retour à l'Agastache après le confinement, nous avons été conforté dans nos avis précédents. 
Créativité et originalité, associations aux saveurs surprenantes et esthétique dans l’assiette. 
Mention pour le bleu d'Auvergne revisité.
Chaleur de l’accueil et du service.
Avec un tel rapport qualité prix on peut parler de perfection."
101,août 2021,"5,0","Une expérience incroyable, des plats exécutés à la perfection et très original. Service impeccable, un rapport qualité prix très attractif. Pensez à réserver car peu de tables. Bravo en tout cas à cette équipe qui pour sûr ira loin "
102,août 2021,"5,0","Cuisine excellente,créative et généreuse. Service chaleureux. Nous avons adoré. Merci pour la belle soirée !"
103,août 2021,"5,0","Nous avons passé un excellent moment, le service était impeccable et la nourriture originale et audacieuse était délicieuse. Merci beaucoup pour cet agréable moment."
